Tanggal,Expired,Partner,Lokasi,No1,Tagihan1,Harga1,Pajak1,Jumlah1,No2,Tagihan2,Harga2,Pajak2,Jumlah2,No3,Tagihan3,Harga3,Pajak3,Jumlah3,Sub Total,Diskon,Total,Xendit,AM,Merged Doc ID - InvSub,Merged Doc URL - InvSub,Link to merged Doc - InvSub,Document Merge Status - InvSub
3/1/2024,8/1/2024,Ma’had Al-Quds Cianjur,"Cianjur, Jawa Barat",1,Langganan Bulan Januari 2024,Rp300.000,Rp33.000,Rp333.000,,,,,,,,,,,Rp333.000,Rp0,Rp333.000,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e9,Dita Winduati,1WI2JpCqF4lEww95a68nTy1kETXzXoCyQ,https://drive.google.com/file/d/1WI2JpCqF4lEww95a68nTy1kETXzXoCyQ/view?usp=drivesdk,#INVL/0001/I/2024 | Ma’had Al-Quds Cianjur,Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 2 2024 9:57 PM
3/1/2024,8/1/2024,"PP Miftahul Huda Tumang, Boyolali","Boyolali, Jawa Tengah",1,Langganan Bulan Januari 2024,Rp101.000,Rp11.110,Rp112.110,,,,,,,,,,,Rp112.110,Rp0,Rp112.110,,Dita Winduati,1nD_VOLRJQ-vHAR9Ki0P37cD_2rigBzd0,https://drive.google.com/file/d/1nD_VOLRJQ-vHAR9Ki0P37cD_2rigBzd0/view?usp=drivesdk,"INVL/0003/I/2024 | PP Miftahul Huda Tumang, Boyolali",Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 3 2024 3:14 AM
5/1/2024,10/1/2024,PPTQ Al-Umm Cianjur,"Cianjur, Jawa Barat",1,Langganan Bulan Januari 2024,Rp198.000,Rp21.780,Rp219.780,,,,,,,,,,,Rp219.780,Rp0,Rp219.780,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e11,Dita Winduati,1wJGsU6ZSKeclc8Fug5bRCpJo6GBJ8Zlv,https://drive.google.com/file/d/1wJGsU6ZSKeclc8Fug5bRCpJo6GBJ8Zlv/view?usp=drivesdk,INVL/0004/I/2025 | PPTQ Al-Umm Cianjur,Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 4 2024 10:16 PM
2/1/2024,7/1/2024,"PTM Ashqaf, Kubu Raya Kalbar","Kab. Kubu Raya, Kalimantan Barat",1,Langganan Bulan Januari 2024,Rp500.000,Rp55.000,Rp555.000,,,,,,,,,,,Rp555.000,Rp0,Rp555.000,,Dita Winduati,1AaBv7qXllS8E5anlv_-IA1uavzssXSJA,https://drive.google.com/file/d/1AaBv7qXllS8E5anlv_-IA1uavzssXSJA/view?usp=drivesdk,"INVL/0005/I/2024 | PTM Ashqaf, Kubu Raya Kalbar",Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 9 2024 10:06 PM
10/1/2024,15/01/2024,"PP Nurul Amanah, Jakarta","Jakarta Selatan, DKI Jakarta",1,Langganan Bulan Januari 2024,Rp500.000,Rp55.000,Rp555.000,,,,,,,,,,,Rp555.000,Rp0,Rp555.000,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e13,Dita Winduati,1JxeFRZmfLTXCBhrsUD-ZYhb17k_jVoJ4,https://drive.google.com/file/d/1JxeFRZmfLTXCBhrsUD-ZYhb17k_jVoJ4/view?usp=drivesdk,"INVL/0006/I/2024 | PP Nurul Amanah, Jakarta",Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 9 2024 10:06 PM
10/1/2024,30/01/2024,SD UMP Purwokerto,"Purwokerto, Jawa Tengah",1,Langganan Bulan Januari 2024 sampai dengan Bulan Juni 2024,Rp3.600.000,Rp396.000,Rp3.996.000,,,,,,,,,,,Rp3.996.000,Rp0,Rp3.996.000,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e14,Imam Sangidin,1mClS8wJn6vuiokd0PuVuNUUzsWb1GX_P,https://drive.google.com/file/d/1mClS8wJn6vuiokd0PuVuNUUzsWb1GX_P/view?usp=drivesdk,INVL/0007/I/2024 | SD UMP Purwokerto,Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 9 2024 10:11 PM
15/01/2024,25/01/2024,SD IT Khoiro Ummah Purwokerto,"Purwokerto, Jawa Tengah",1,Langganan Tahunan (Februari 2024 - Januari 2025),Rp7.200.000,Rp0,Rp7.200.000,,,,,,,,,,,Rp7.200.000,Rp0,Rp7.200.000,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e15,Imam Sangidin,1qKCw10X9YNe_aG1kwpnjqUjB7ICfEOkR,https://drive.google.com/file/d/1qKCw10X9YNe_aG1kwpnjqUjB7ICfEOkR/view?usp=drivesdk,INVL/0009/I/2024 | SD IT Khoiro Ummah Purwokerto,Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 15 2024 1:05 AM
16/01/2024,26/01/2024,"PP Ta'mirul Islam, Surakarta","Surakarta, Jawa Tengah",1,Langganan Bulan Januari 2024,Rp1.154.000,Rp126.940,Rp1.280.940,,,,,,,,,,,Rp1.280.940,Rp0,Rp1.280.940,,Imam Sangidin,1xFhRPaUqemvFAqp_TZsXkGX9JhgImbPU,https://drive.google.com/file/d/1xFhRPaUqemvFAqp_TZsXkGX9JhgImbPU/view?usp=drivesdk,"INVL/0010/I/2024 | PP Ta'mirul Islam, Surakarta",Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 15 2024 11:37 PM
17/01/2024,27/01/2024,"PP Nurul Falah, Parungpanjang Bogor","Bogor, Jawa Barat",1,Langganan Bulan Januari 2024,Rp261.000,Rp28.710,Rp289.710,,,,,,,,,,,Rp289.710,Rp0,Rp289.710,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e17,Dita Winduati,1t77zcAwwyGfAYcT-xERdcOnX08Rc_Zmb,https://drive.google.com/file/d/1t77zcAwwyGfAYcT-xERdcOnX08Rc_Zmb/view?usp=drivesdk,"INVL/0011/I/2024 | PP Nurul Falah, Parungpanjang Bogor",Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 16 2024 11:34 PM
18/01/2024,23/01/2024,"PP Nurrohman Al Burhany, Purwakarta","Purwakarta, Jawa Barat",1,Langganan Bulan Januari 2024,Rp500.000,Rp55.000,Rp555.000,,,,,,,,,,,Rp555.000,Rp500.000,Rp55.000,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e18,Dita Winduati,1HWZOzyVGDkWa-9AxVgCMx41dMMCvkCPI,https://drive.google.com/file/d/1HWZOzyVGDkWa-9AxVgCMx41dMMCvkCPI/view?usp=drivesdk,"INVL/0014/I/2024 | PP Nurrohman Al Burhany, Purwakarta",Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 26 2024 12:09 AM
